!	¡I
!!	¡I¡I
!!!	¡I¡I¡I
vous n'avez pas soif cette fois?	³o¦¸¤£´÷¤F¶Ü¡H
vous vous promenez toujours toute nue?	§A³£³o¼Ë¥ú·È·È¨ì³B¶]³á¡H
v™llig ungeniessbar, absolut eklig - die bouletten sind zu stark gewrzt!	¹¹¤l
wach bitte auf, lieber goliath!	«ô°U¡A¦n¤ßªº¥¨¤H¡A¿ô¿ô§a¡I
wart nur, wenn ich dich schnappe, du missgeburt, dann dreh ich dir'n hals um	µ¹§Úµ¥µÛ¡A¯ä¤p°­¡A§ì¨ì´N§áÂ_§A²ä¤l¡I
warum glotzt ihr mich an wie die hornochsen?	§A­Ì¨â­Ó²Â³J·F¹À³o¼ËÀü§Ú¡H
was fšr ein glck sie haben, mein werter! eine ruhige, solide arbeit...	¹B®ğ¯u¦n°Ú¡AªB¤Í¡IÃ­©w¤u§@¨S·Ğ´o¡K¡K
was ist das denn? k™nnt ich ganz gut als zahnstocher gebrauchen!	³o¬O¤°»ò¡H®³¨Ó·í¤úÅÒ¥¿¦n¡I
was machen sie denn da drinnen?	§A¦b¸Ì­±·F¹À¡H
was soll ich denn mit einem lesezeichen anfangen!	®ÑÅÒ­n§Ú®³¨Ó·F¹À¡I
was wollt ihr denn, ihr gobliin_wichtel?	¼K¡A¤p°­­Ì¡A·Q·F¹À¡H
we must find king angoulafre's son who was kidnapped by a demon.	§Ú­Ì­n§ä¦w­ô©Ôµá¤ı³Q¾Û¨«ªº¨à¤l
we must find the son of king angoulafre who was kidnapped by a demon.	§Ú­Ì­n§ä¦w­ô©Ôµá¤ı³Q¾Û¨«ªº¨à¤l
we'll have to distract the attention of these two poor old toadstools.	±o·Q¿ìªk¤Ş¶}³o¨â­Ó¦ÑÀY¤l¡C
we'll have to make these two old billies laugh a bit!	±o·Q¿ìªk³r³o¨â­Ó¦Ñ³Ã¥ë¯º¤@¤U¡I
we're starving! only the notable has enough to eat.	§Ú­Ì§Ö¾j¦º¤F¡I¥u¦³¶m²Ô¦³±o¦Y¡C
we've brought you a mushroom, it's really good to eat!	¦Ñ¥S¡A³oÄ¨Û£°e§A¡A¶W¦n¦Yªº¡I
we've brought you a mushroom. it's really good to eat!	¦Ñ¥S¡A³oÄ¨Û£°e§A¡A¶W¦n¦Yªº¡I
wenn ihr ins schloss reinkommen wollt, versucht's auf keinen fall durchs tor!	·Q¶i«°³ù¡A§O¨«¤jªù¡I
wer will findet also immer ne gelegen- heit zum gammeln! hab dich im visier!!	ÁÙ¦b¨º®Ì°Ú¡H§Ú¨nµÛ§A­Ì©O¡I
wertester knstler, k”nnten sie uns bitte ein stšckchen vorspielen?	ÃÀ³N®a¥ı¥Í¡A¯à¬°§Ú­Ìºt«µ¤@¦±¶Ü¡H
what are you doing in there?	§A¦b¸Ì­±·F¹À¡H
what are you waiting for smelly, some medals?	ÁÙµ¥¤°»ò¡A²Â³J¡Aµ¥µo¼úµP³á¡H
what are you waiting for? start working, lazybones!	ÁÙµ¥¤°»ò¡H§Ö¥h°µ¨Æ¡AÃi°©ÀY¡I
what do you want me to do with a bookmark?	®ÑÅÒ­n§Ú®³¨Ó·F¹À¡I
what do you want me to do with a page-marker?	®ÑÅÒ­n§Ú®³¨Ó·F¹À¡I
what is this? i'd like to use as a tooth-pick!	³o¬O¤°»ò¡H®³¨Ó·í¤úÅÒ¥¿¦n¡I
what is this? i'd like to use it to pick my teeth!	³o¬O¤°»ò¡H®³¨Ó·í¤úÅÒ¥¿¦n¡I
where's the way out, bone heap?	¥X¤f¦b­ş¡A¾uÅ\°ï¡H
why are you two noodles looking at me like that?	§A­Ì¨â­Ó²Â³J·F¹À³o¼ËÀü§Ú¡H
why not take a souvenir of my visit before drinking this stuff?	³Ü³o°­ªF¦è«e¡A¥ı®³­Ó¬ö©À«~¦n¤F¡H
why should i help you, cheeky fellow? there's something fishy about you...	¦º¤p¤l¡A§Ú·F¹ÀÀ°§A¡H§A©Ç©Çªº¡K¡K
wie steht's, freund kchenschabe! nicht grade einfach, hier zu wandern..	«¢Åo¡AÁ­½¸¥S¡I³o¸Ì¯u¤£¦n¨«¡I
wir haben dir einen pilz mitgebracht, gevatter! ist die allerbeste qualit„t!	¦Ñ¥S¡A³oÄ¨Û£°e§A¡A¶W¦n¦Yªº¡I
wir haben hunger! nur der hohe herr hat noch zu essen!	§Ú­Ì§Ö¾j¦º¤F¡I¥u¦³¶m²Ô¦³±o¦Y¡C
wir mssen den vom d„monen entfhrten sohn des k”nigs Angoulafre befreien!!!	§Ú­Ì­n§ä¦w­ô©Ôµá¤ı³Q¾Û¨«ªº¨à¤l
wird gemacht: hier eine meiner eigen- kompositionen! ohren auf!!	¨S°İÃD¡I³o­º¬O§Ú¦Û¤v¼gªº¦±¤l¡K¡K
wirklich das erste mal, dass ich eine schabe mit sonnenbrille und adidas sehe	²Ä¤@¦¸¬İ¨ìÁ­½¸À¹¾¥Ãè¬ï²y¾c¡I
wisse, du untertan, dass ich k”nig bin! der D„mon ist's der mich gefangen h„lt!	¯ä¤p¤l¡A§Ú¥i¬O°¶¤j°ê¤ı¡I´cÅ]§â§ÚÃö³o¡I
wissen sie, es handelt sich um eine meinungsumfrage!	°µ­Ó°İ¨÷½Õ¬d¡A¯à°İ´X­Ó°İÃD¶Ü¡H
with all due respect, you're really not my type!	®¤§Úª½¨¥¡A§A¯uªº¤£¬O§Úªºµæ¡I
wo geht's denn raus, du knochenhaufen?	¥X¤f¦b­ş¡A¾uÅ\°ï¡H
wohnen sie noch bei den eltern?	§AÁÙ¸òª¨¶ı¦í³á¡H
wollt ihnen nur unsere la naturbrsten zeigen...	¨ä¹ê¡A§Ú­Ì¬O¨Ó½æ¨ê¤lªº¡K¡K
worauf wartest du denn, du intelligenz- bestie? dass esgoldmedaillen regnet?	ÁÙµ¥¤°»ò¡A²Â³J¡Aµ¥µo¼úµP³á¡H
y ahora, noble mago, ¨qu‚ podemos hacer?	´L¶QªºÅ]ªk®v¡A²{¦b§Ú­Ì¯à°µ¤°»ò¡H
y entonces, hombrecito, ¨que haces encaramado all¡ arriba?	³Ş¡A¤p³Ã¥ë¡A§A¯¸¦b¤W­±·F¹À¡H
y-a-t'il quelque chose de pr‚cieux ici?	³o¸Ì¦³¤°»ò­È¿úªF¦è¶Ü¡H
ya est  : tenemos trabajo para t¡, ­oh artista!	¦n¤F¡I¦³¬¡­nµ¹§A°µ¡AÃÀ³N®a¡I
yes! you have to stoke up the fire with the bellows.	¹ï¡I­n¥Î­·½c§â¤õİµ©ô¡C
yes, but i can't show you, because i've been robbed of my eyesight	ª¾¹D¡A¦ı§Ú²´·ú³Q°½¤F¡A«ü¤£¤F¸ô
yes, but i can't show you, because i've been robbed of my eyesight.	ª¾¹D¡A¦ı§Ú²´·ú³Q°½¤F¡A«ü¤£¤F¸ô
yes, yes! i really feel like playing my guitar...	¦n°Ú¦n°Ú¡I§Ú¤âÄo¥¿·Q¼u¦N¥L©O¡K¡K
you are wasting my time, dope. Here there are only hourglasses...	¥Õ·ö¡A§O®ö¶O®É¶¡¡A³o¸Ì¥u¦³¨Fº|¡K¡K
you just wait until i catch you, little creep!	µ¹§Úµ¥µÛ¡A¯ä¤p°­¡A§ì¨ì´N§áÂ_§A²ä¤l¡I
you just wait until i catch you, you little creep!	µ¹§Úµ¥µÛ¡A¯ä¤p°­¡A§ì¨ì´N§áÂ_§A²ä¤l¡I
you must love your new king, you've painted him with such enthusiasm...	§A­Ì³o»ò·R·s°ê¤ı¡Aµe±o³o»ò°_«l¡I
you still hanging around? i've got my eye on you!	ÁÙ¦b¨º®Ì°Ú¡H§Ú¨nµÛ§A­Ì©O¡I
you think you can escape from here, not a chance. That's my final revenge!	§A·Q°k¥X¥h¡H§@¹Ú¡I³o¬O§Ú³Ì²×ªº´_¤³¡I
you think you can escape from here? not a chance! that is my final revenge!	§A·Q°k¥X¥h¡H§@¹Ú¡I³o¬O§Ú³Ì²×ªº´_¤³¡I
you'll just have to follow him superman! he's now in deathland.	¶W¤H¡A§A¥u¯à¥h°l¥L°Õ¡I¥L²{¦b¦b­ß¬É¡I
you're not thirsty this time?	³o¦¸¤£´÷¤F¶Ü¡H
you're very lucky, my friend! a steady job, no worries...	¹B®ğ¯u¦n°Ú¡AªB¤Í¡IÃ­©w¤u§@¨S·Ğ´o¡K¡K
you're wasting my time, dopey. tHere are only hourglasses here...	¥Õ·ö¡A§O®ö¶O®É¶¡¡A³o¸Ì¥u¦³¨Fº|¡K¡K
your advice is most precious, noble wizard! where must we go?	¦hÁÂ«üÂI¡A¸Ó©¹­ş¨«¡H
­Anda vete por ah¡, aprendiz de tortuga ninja!	½ö¤U¡A§A³o°¦°²§ÔªÌÀt¡I
­Aqu¡ la suerte no te da ning£n j¢ker!	©R¹B¤£Åı§A¦b³o¸Ì®³´£¥Ü¡I
­Ay!	«u­ò¡I
­Buenos d¡as, noble sabio! ¨cu l es la funci¢n de esta m quina?	±z¦n¡A´L¶Qªº¾ÇªÌ¡I³o¾÷¾¹¬O°µ¤°»ò¥Îªº¡H
­Caballero, le quedan dos jokers!	²Ô¤h°Ú¡A§AÁÙ³Ñ¨â­Ó´£¥Ü¡I
­ERROR gobliins!	¤pºëÆF¿ù»~¡I
­GRAN MAGo, es tu colega de tierra adentro quien nos env¡a!	¤j§Å®v¡I¤¤¤gªº¦P¦æ¬£§Ú­Ì¨Óªº¡I
­HMMM! parece estar riqu¡simo. ­seguro que har  un buen asado!	¶â¡A§A¬İ°_¨Ó«Ü¦n¦Y¡A·|¬O¹D¬ü¨ı¯N¦×¡I
­H‚ gusano, postrate ante tu dios!	³Ş¡A³IÂÎ¡Aµ¹§Ú¸÷¤U«ô§Aªº¯«¡I
­Listillo, s¢lo te queda un j¢ker!	§A³o²Â³J¡A¥u³Ñ¤@­Ó´£¥Ü°Õ¡I
­Oh s¡, muchas gracias! pero s¢lo puedo entreabrirles...	³á¡A¤ÓÁÂÁÂ¤F¡I¤£¹L§Ú¥u¯à¶}¤@¥bªº¸ô¡K¡K
­Pobre diablo, te quedaste sin j¢kers!	¥i¼¦ÂÎ¡A§Aªº´£¥Ü¥Î¥ú°Õ¡I
­Se¤or, dispone Vd de tres jokers!	ª±®a¤j¤H¡A§A¦³¤T­Ó´£¥Ü¡I
­VALE barbudo! ind¡canos el camino, pero hazlo r pido, alcornoque!	¦n°ÕÄG¤l¨Ğ¡I§Ö«ü¸ô¡A°Ê°Ê¸£¡I
­VIVa el rey! ­corriendo salgo a por amigos para intentar desatarlo!	°ê¤ı¸U·³¡I§Ú³o´N¥h§ä¤H¨ÓÀ°¦£¸Ñ¶}¥L¡I
­ah no! !­no es el momento! ­estoy cansado! ­aire!	°Ú¤£¡A²{¦b¤£¬O®É­Ô¡I§Ú²ÖÃz¤F¡Aºu°Õ¡I
­ah! TRISTE asunto EN veRdad...	­ü¡I³o¬O¤°»òºG¨Æ¡K¡K
­ah,sales de ba¤o! muy oportuno. la lima en el frasco es para t¡.	°Ú¡I¨N¯DÆQ¡I§A¤£²Â¹À¡I¸J¸Ìªº¾V¤M°e§A¡I
­alto ah¡ demonio! ­devu‚lvenos al pr¡ncipe!	´cÅ]¡A¯¸¦í¡I§â¤p¤¡¤ı¤lÁÙµ¹§Ú­Ì¡I
­aparte de la gratitud que oS debo, no est  mi tipo!	®¤§Úª½¨¥¡A§A¯uªº¤£¬O§Úªºµæ¡I
­aqui est , hermano enano : tenemos los dos elementos!	¸G¤H¥S§Ì¡A§Ú­Ì¨Ó¤F¡I¨â¼Ë³£®³¨ì¤F¡I
­ay£danos a encontrar al mi¥ito del viejo angulafre!	À°§Ú­Ì§ä¦Ñ¦w­ô©Ôµáªº¤p«Ä¡I
­buen retrato artista! : ¨qu‚ hace all¡ esa mariquita?	µe±o¤£¿ù¡AÃÀ³N®a¡I¨º¸Ì«ç»ò¦³°¦¿]ÂÎ¡H
­buenos d¡as, do¤a cucaracha! ­no es f cil moverse por aqu¡!	«¢Åo¡AÁ­½¸¥S¡I³o¸Ì¯u¤£¦n¨«¡I
­coged pues la alfombra y venid a verme! ­desde aqu¡ casi no oigo!	­É¦a´à¤W¨Ó¨£§Ú¡A³o¸ÌÅ¥¤£²M·¡¡I
­creo que dejamos en barbecho un rollo de provecho!	ÕÙ¡A§Ú­Ì¦n¹³§Ñ¤F®³­«­nªºªF¦è¡I
­curioso! : ­un ojo en un cr neo!	©_©Ç¡A¾uÅ\¸Ì¦³°¦²´·ú¡I
­dale al soplillo, en vez de estorbarme!	¥hİµ­·½c°Õ¡A§O¦b³o·Ğ§Ú¡I
­de acuerdo, gnomito, pero tr eme un buen vinazo y algo para comer!	¦n°Ú¤p¸G¤l¡A¥ı®³¦n°s¨Ó¦A»¡¡I
­de acuerdo, pero dame antes algo para comer!	¦n°Ú¡A¥ıµ¹§ÚªF¦è¦Y¡I
­de acuerdo, pero tr eme ahora mismo un buen vinazo!	¦n°Ú¡A¥ı®³¦n°s¨Ó¡I
­d‚jenos pasar, se lo ruego!	«ô°UÅı§Ú­Ì¹L¥h°Õ¡I
­eh, magus, ay£danos un poco! si crees que es f cil...	§Å®v¡AÀ°­Ó¦£°Õ¡I§A¥H¬°³o«ÜÂ²³æ°Ú¡H
­eh, vieja foca, modemus requetemago nos env¡a a t¡!	¼K¡A¦Ñ®ü°\¡A¼¯¼w©i´µ¬£§Ú­Ì¨Ó§ä§A¡I
­eh, ¨t£, acaso no sabes lo que es tener ampollas en el pie?, qu‚ diablo!	¹B®ğ¯u¦n°Ú¡AªB¤Í¡IÃ­©w¤u§@¨S·Ğ´o¡K¡K
­el nuevo rey s¢lo come eso! ­se las lanzo por el agujero bajo los escalones	·s°ê¤ı¥u¦Y³o­Ó¡I§Ú±q¶¥±è¤Uªº¬}¶ë¶i¥h¡I
­el peque¤o ha desaparecido sin dejar rastro!	¦n¤F¡A³o¤U¤p°­¤£¨£ÂÜ¼v¤F¡I
­enhorabuena! ­hemos recuperado al princ¡pe! ­adios! ­no le saludo!	¤Ó¦n¤F¡I¤ı¤l±Ï¦^¨Ó¤F¡A§Ú­Ì°{°Õ¡I
­es duro! ­aqu¡ nos comen d¡a y noche! ¨por cierto, no ha visto a mi hermano?	­W°Ú¡I³o¸Ì¦Ñ¬O³Q¦Y¡I§A¨£¹L§Ú¥S§Ì¶Ü¡H
­es la primera vez que veo una cucarachaen camiseta y zapatillas!	²Ä¤@¦¸¬İ¨ìÁ­½¸À¹¾¥Ãè¬ï²y¾c¡I
­es para una encuesta! ¨Puedo hacerle algunas preguntas?	°µ­Ó°İ¨÷½Õ¬d¡A¯à°İ´X­Ó°İÃD¶Ü¡H
­es una m quina de reducir que me oblig¢ a crear el terrible demonio!	³o¬OÁY¤p¾÷¡A¬O¨º¥i©Èªº´cÅ]¹G§Ú³yªº¡I
­especie de insolente! ­si tuviera uno, te lo pondr¡a donde ya sabes!	§A³oµLÂ§°­¡I¦³ªº¸Ü¦­´N½à§A¤@¤Ú´x¡I
­espero que te coja, mal nacido, y te tronchar‚ el cuello!	µ¹§Úµ¥µÛ¡A¯ä¤p°­¡A§ì¨ì´N§áÂ_§A²ä¤l¡I
­esta chatarra es in£til si no ten‚is molde de la llave!	¨S¦³Æ_°Í©İ¦L¡A³o°ï¼oÅK¨S¥Î¡I
­este ni¤o est  pose¡do! lo llevo a mi laboratorio. hay que hacerle beber agua de mi fuente. ­tomen y vengan conmigo!	³o«Ä¤l¤¤¨¸¤F¡I§Ú±a¥L¦^¹êÅç«Ç¡C±oÅı¥L³Ü¼Q¬u¤ô¡A§Ö¥h¨ú¤ô¦^¨Ó¨£§Ú¡I
­excelente! m‚tanlo ya en mi m quina de so¤ar con m£sica y prueben un trozo!	¤Ó´Î¤F¡I©ñ¶i§Úªº­µ¼Ö³y¹Ú¾÷¡AÀ|¤@¤f¡I
­fuera salmonete! molestas. ¨no ves que me estoy remojando?	ºu°Õ²Â³J¡I§A¾×¨ì¥ú¤F¡A¨S¬İ¨ì§Ú¦bªw¤ô¡H
­gracias por haber calmado mi sed! a t¡ te permito subira mi mano...	ÁÂÁÂ§A¸Ñ¤F§Úªº´÷¡IÅı§Aª¦¨ì§Ú¤â¤W¡K¡K
­habr¡a que hacerlos reir un poco, a los dos pobres diablos!	±o·Q¿ìªk³r³o¨â­Ó¦Ñ³Ã¥ë¯º¤@¤U¡I
­hala, ya basta de dar vueltas! ­ciempi‚s, ind¡canos la salida!	­ü¡AÂ¶°éÂ¶·Ğ¤F¡I¸¼°G¡A±a¸ô¥X¥h¡I
­he aqu¡ un hongo, compadre! ­ojo que es de lo mejor!	¦Ñ¥S¡A³oÄ¨Û£°e§A¡A¶W¦n¦Yªº¡I
­he, adefesio, es menos acogedor aqu¡ que all  en el castillo, no?	³Ş¡AÁà¤K©Ç¡A³o¸Ì¥i¨S«°³ùµÎªA§a¡H
­hola artesano, no hemos encontrado todo pero pronto estar !	ÅK¦K§A¦n¡AÁÙ¨S§ä»ô¡A¦ı§Ö¤F¡K¡K
­hola, amigo deportista! ¨ que tiempo para un partido, verdad?	¶Ù¡A¹B°Ê©@¡A¤µ¤Ñ¯u¾A¦X¨Ó¤@³õ¡I
­hola, colEgA! ¨triunfamos pues?	¼K¡A§A¦n°Ú¡I¦³¶i®i¶Ü¡H
­id a ver al p jaro de enfrente! tiene dos pasiones : m£sica y hongos.	¥h¹ï­±§ä¨º°¦³¾¡A¨e·R­µ¼Ö©MÄ¨Û£¡I
­jam s! por vuestro culpa heme aqu¡ encerrado en el reino de los muertos!	¤£¡I§Ú·|§x¦b­ß¬É³£¬O§A­Ì®`ªº¡I
­lo lamento! no tengo tiempo...	©êºp¡I§Ú¨SªÅ¡I
­muy buen d¡a, amable  rbol! ¨ser¡a tan gentil de darnos consejo?	¶Ù¡A¾ğ§B§B¡A¥i¥Hµ¹­Ó«ØÄ³¶Ü¡H
­no es imposible, pero para abrirlos se precisan m£sculos marineros!	¤£¬O¨S¥i¯à¡A¦ı±o¦³¤ô¤âªº¦Ù¦×¤~¦æ¡I
­no estoy encantado de haberte conoci- do, carnaval! ­y ahora nos vamos, chao!	»{ÃÑ§A¯u°÷­Ë·°¡A¯ä¤¡¨¤¡AÙTÙT¡I
­no puedo forjar la llave si no me d is su molde!	¨S¦³©İ¦L¡A§Ú¥´¤£¥XÆ_°Í¡I
­no tienes m s que seguirlo, superman! ­ahora est  en el pa¡s de los muertos!	¶W¤H¡A§A¥u¯à¥h°l¥L°Õ¡I¥L²{¦b¦b­ß¬É¡I
­no! pero os autorizo a coger una manzana si quer‚is.	¤£¦æ¡I¤£¹L§A­Ì¥i¥H®³ÁûÄ«ªG¡I
­no! si se busca bien, hay en cambio miles de perlas y diamantes...	¨S¦³¡I¦ı¥J²Ó§ä´N¦³¬Ã¯]©MÆp¥Û¡K¡K
­no! ­tengo hambre! ­tengo hambre!	¤£¦æ¡I§Ú¾j¤F¡I¯uªº¾j¤F¡I
­no, estoy encerrado aqu¡! para que cante mi tristeza...	¤£¡A§â§ÚÃö¦b³o°Û´dºq¡K¡K
­padecemos hambre! s¢lo el cacique tiene todav¡a algo de comer...	§Ú­Ì§Ö¾j¦º¤F¡I¥u¦³¶m²Ô¦³±o¦Y¡C
­pero no todo est  perdido!	¦ı¬OÁÙ¦³±Ï¡I
­pero no, simp tico, ­s¢lo me estoy ba¤ando!	¤~¨S¦³¡A¦Ñ¥S¡A§Ú¥u¬O¦b¬~¾ş¦Ó¤w¡C
­por supuesto que si! ­hacerle beber el elixir de la bondad!	·íµM¦³¿ìªk¡IÅı¥L³Ü¤U¤¯·OÃÄ¤ô´N¦æ¡I
­porque dos grandes h‚roes van a intentar la haza¤a!	¦]¬°¨â¦ì¤j­^¶¯­n¥X°¨¤F¡I
­pss, estoy con voso tros ! para acceder al trono del demonio necesit is la llave del armario de los peces. ­traedme su huella y un trozo de hojalata,y yo os la forjar‚!	¼N¡I§Ú®¼§A¡I­n¶i´cÅ]¤ı®y¡A±o­n¨è³½ÂdªºÆ_°Í¡Cµ¹§Ú©İ¦L©MÅK¤ù¡A§ÚÀ°§A¥´¡I
­pss,estoy con voso tros! para llegar al trono del demonio necesit is la llave del armairio de los peces. traedme su huella y un trozo de hojalata. ­ yo os la forjar‚ !	¼N¡I§Ú®¼§A¡I­n¶i´cÅ]¤ı®y¡A±o­n¨è³½ÂdªºÆ_°Í¡Cµ¹§Ú©İ¦L©MÅK¤ù¡A§ÚÀ°§A¥´¡I
­qu‚ empecinados! Bien, ­pod‚is entrar!	¯u¬O¦ºÄñÄê¥´¡I¦n§a¡A¶i¨Ó§a¡C
­qu‚ m s quisiera yo, pero desde que amoniak me quit¢ los ojos estoy ciego!	§Ú¤]·Q¡A¦ıªü¼¯¥§¨È°½¨«§ÚÂù²´¡A¬İ¤£¨£
­qu‚ par de bellotos!, ¨porqu‚ pon‚is esa cara?	§A­Ì¨â­Ó²Â³J·F¹À³o¼ËÀü§Ú¡H
­repugnante!­infame! ­estas alb¢ndigas pican demasiado!	Ãø¦Y¦º¤F¡I³o¨Ç¦×¤Y»¶¹LÀY¤F¡I
­salid de la aldea e id al castillo!­un gigante hambriento corta el paso!­ojo!	Â÷¶}§ø¤l©¹«°³ù¡I¤p¤ß°§¾j¥¨¤H¾×¸ô¡I
­si! hay que despertar la brasa con el soplillo...	¹ï¡I­n¥Î­·½c§â¤õİµ©ô¡C
­sin discutirlo! ­aqu¡ va un trozo compuesto por un servidor!	¨S°İÃD¡I³o­º¬O§Ú¦Û¤v¼gªº¦±¤l¡K¡K
­soy el rey de esta comarca! ­s¢lo mi corona podr  devolverme mi tama¤o!	§Ú¤~¬O¯u¥¿ªº°ê¤ı¡I¬Ó«a¯àÅı§ÚÅÜ¦^­ì¼Ë¡I
­su‚lteme! ­su‚lteme! mi amor me est  esperando fuera.	©ñ§Ú¥X¥h¡I©ñ§Ú¥X¥h¡I§Úªº·R¤H¦b¥~µ¥§Ú¡I
­s¡ que le amo! ­ha hecho de m¡ el cocinero de su majestad!	·íµM·R°Ú¡I¥LÁÙ«Ê§Ú·í±s¥Î¸Õµæ©x©O¡I
­tanto ama vd al nuevo rey que lo pinta con tanto ardor!	§A­Ì³o»ò·R·s°ê¤ı¡Aµe±o³o»ò°_«l¡I
­tenga a bien aceptar un humilde don! ­al parecer, no tiene parang¢n!	½Ğ¯º¯Ç³o¥÷Á¡Â§¡AÅ¥»¡¶WÉqªº¡I
­traedle el hongo que indique la ninfa a cambio de buenas golosinas!	§â¥P¤l«üªºÛ£®³µ¹¨e¡A°O±o¥ı°e¥÷¤pÂ§¡I
­tus consejos son muy preciados, noble mago! ¨ad¢nde debemos ir?	¦hÁÂ«üÂI¡A¸Ó©¹­ş¨«¡H
­un fr gil ni¤o arrancado de su hogar por un demonio!	¼b®zªº«Ä¤l³Q´cÅ]¾Û¨«¤F¡I
­una vela! ©§­no es para tanto!	¤@®ÚÄúÀë¡H¨S¤°»ò¤j¤£¤Fªº¡I
­val¡a la pena, bomboncito, para admirar mi estampa de atleta!	­È±o§a¡AÄ_¨©¡A²{¦b¬İ¨ì§Úªº«Ó¨­§÷¤F¡I
­vamos, mu‚vete, especie de mole!	§ÖÂI°Ê¤@°Ê¡A§A³o®y¦×¤s¡I
­vaya! ¨qu‚ tal, se¤or  rbol? ­no pensaba volverle a ver tan pronto!	¾ğ¥ı¥Í¡A¤S¨£­±¤F¡I¨S·Q¨ì³o»ò§Ö¡I
­y bien, peque¤os gobliins! ¨qu‚ quer‚is de m¡?	¼K¡A¤p°­­Ì¡A·Q·F¹À¡H
­‚so parece que est  bueno! ¨podr¡as darme un trozo?	¬İ°_¨Ó¤£¿ù¡I¯àµ¹§Ú¤@¶ô¶Ü¡H
­‚ste pazguato desconf¡a demasiado! habr¡a que distraerlo con algo...	³o³Ã¥ë¤ÓÄµÄ±¤F¡A±o¤Ş¶}¥L¡K¡K
­‚sto es un asalto! ­r pido, la caja!	¥´§T¡I¿ú³q³q¥æ¥X¨Ó¡I
¨A ver, un besito, mu¤eca? ­seguro que conoces un atajo!	Ä_¨©¡A·Q¿Ë¤@¤U¶Ü¡H§Aª¾¹Dªñ¸ô§a¡I
¨Antes de tomarme este brebaje no me convendr¡a echar un vistazo aqu¡?	³Ü³o­Ó¤§«e¡A­n¤£­n¦A¬İ¬İ¥|©P¡H
¨Bueno a qu‚ esperas? ­venga, manos a la obrA!	ÁÙµ¥¤°»ò¡H§Ö¥h°µ¨Æ¡AÃi°©ÀY¡I
¨Es vd el cancerbero de estos lares?	§A´N¬O³o¸Ìªº¦aº»¬İªùª¯¡H
¨Falta algo todav¡a?	ÁÙ¯Ê¤°»òªF¦è¶Ü¡H
¨Qu‚ est  haciendo ah¡ dentro?	§A¦b¸Ì­±·F¹À¡H
¨Y si me llevara un recuerdo de mi visita antes de tomarme ‚sto?	³Ü³o°­ªF¦è«e¡A¥ı®³­Ó¬ö©À«~¦n¤F¡H
¨a ti tambi‚n quieren comerte?	¥L­Ì¤]·Q¦Y§A¡H
¨ah s¡? ¨te vas inmundo? ­como yo est s aqu¡ bloqueado para siempre!	³á¡H§A·Q¨«¡H§@¹Ú¡I§A¸ò§Ú¤@¼Ë¥Ã»·§x¦b³o
¨crees poder salir de aqu¡? ­nada! ­es mi venganza final!	§A·Q°k¥X¥h¡H§@¹Ú¡I³o¬O§Ú³Ì²×ªº´_¤³¡I
¨d¢nde est  la salida, huesudo?	¥X¤f¦b­ş¡A¾uÅ\°ï¡H
¨es para un reloj de arena? ok, cambien el tic-tac del reloj por una melod¡a.	­n¨Fº|¡H¦n¡A§âÄÁªººwµª´«¦¨±Û«ß§a¡I
¨est  contenta ahora?	³o¼Ë§Aº¡·N¤F¶Ü¡H
¨hay objetos preciosos aqu¡?	³o¸Ì¦³¤°»ò­È¿úªF¦è¶Ü¡H
¨no habr¡a un tesoro que descubrir por aqu¡?	³oªşªñ·|¤£·|¦³Ä_ÂÃ°Ú¡H
¨no ten‚is sed esta vez?	³o¦¸¤£´÷¤F¶Ü¡H
¨noble mago, puede ayudarnos a hacer beber al pr¡ncipe?	´L·qªºªk®v¡A¯àÀ°¤ı¤l³Ü¤ô¶Ü¡H
¨por qu‚ hab‚is secuestrado a nuestro buf¢n? es un pr¡ncipe...	¬°¦ó§ì¨«§Ú­Ìªº¤p¤¡¡H¥L¨ä¹ê¬O¤ı¤l¡K¡K
¨puede cedernos el paso por favor?	¥i¥HÅı§Ú­Ì¹L¥h¶Ü¡H
¨que es eso? ­podr¡a servirme de mondadientes!	³o¬O¤°»ò¡H®³¨Ó·í¤úÅÒ¥¿¦n¡I
¨qu‚ esperas, flojo de la mollera, acaso medallas?	ÁÙµ¥¤°»ò¡A²Â³J¡Aµ¥µo¼úµP³á¡H
¨qu‚ quiere?	¦³¤°»ò¨Æ¶Ü¡H
¨qu‚ quieren que haga con un se¤alador?	®ÑÅÒ­n§Ú®³¨Ó·F¹À¡I
¨qu‚ tal, vieja rama... ¨echando ra¡ces?	¦Ñ¤ìÀY¡AÁÙ¦b¨ºÃä¥Í®Ú³á¡H
¨qu‚? ¨de vuelta a la aldea? pasando esta puerta, ­llegar‚is a TAZAAr!	§A­Ì¦^§ø¤l°Õ¡I³o®°ªù³q©¹¶ğÂÄº¸¡I
¨vas a dejarme tranquilo, tonto de capirote, olvidar mi hambre y mi sed?	³Ş¡A²Â³J¡I§O·Ğ§Ú¡A§Ú¥¿§Ñ°O°§´÷©O¡C
¨vive usted en casa de sus padres?	§AÁÙ¸òª¨¶ı¦í³á¡H
¨y por qu‚ habr¡a de ayudarte, con esos modales insolentes?	¦º¤p¤l¡A§Ú·F¹ÀÀ°§A¡H§A©Ç©Çªº¡K¡K
